description,amount,type,mode,category
IMPS IMPS TRANSFER,117613.41,DEBIT,IMPS,Transfer
NEFT APARTMENT RENT,22551.9,DEBIT,NEFT,Rent
EMI SBI ISTE,11051.83,DEBIT,ECS,EMI
UPI/ZDUTTA4527/FLIPKART,6478.57,DEBIT,UPI,Shopping
IMPS UPI TRANSFER,48978.19,DEBIT,IMPS,Transfer
NETBANKING BESCOM,3642.3,DEBIT,NETBANKING,Bills
NETBANKING JIO,8046.98,DEBIT,NETBANKING,Bills
SALARY CREDIT INFOSYS,176170.81,CREDIT,NEFT,Salary
TRANSFER FROM SELF,5941.72,CREDIT,NEFT,Transfer
NETBANKING GOAIR,1637.82,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,2412.45,CREDIT,NEFT,Transfer
POS CAFE COFFEE DAY NELLORE,486.28,DEBIT,POS,Food & Dining
UPI/APPLEMUSIC6288,4496.0,DEBIT,UPI,Entertainment
POS MYNTRA BELGAUM,35185.05,DEBIT,POS,Shopping
UPI/AIIMS8444,1854.0,DEBIT,NETBANKING,Healthcare
EMI HDFC FUGA,2336.35,DEBIT,ECS,EMI
ELSS FUND PAYMENT 4828,2509.0,DEBIT,NEFT,Investments
TRANSFER FROM SELF,18919.35,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,146170.56,CREDIT,NEFT,Transfer
POS UPSTOX 3671,3572.0,DEBIT,ECS,Investments
UPI/GROWWSIP9075,4783.0,DEBIT,NETBANKING,Investments
SALARY CREDIT COMPANY PAYROLL,79865.07,CREDIT,NEFT,Salary
NEFT ACCOMM RENT,11004.85,DEBIT,NEFT,Rent
UPI/LOKEAARAV8565/MISCELLANEOUS,6241.61,DEBIT,UPI,Other
EMI EMI SBI,17624.86,DEBIT,ECS,EMI
UPI/SRAJAN8691/ZOMATO,1816.95,DEBIT,UPI,Food & Dining
UPI/YOUTUBEPREMIUM6625,2928.0,DEBIT,NEFT,Entertainment
NETBANKING GOAIR,16889.54,DEBIT,NETBANKING,Travel
POS AJIO ASANSOL,6319.64,DEBIT,POS,Shopping
ACCOMM RENT EXPEDITA,23646.88,DEBIT,ECS,Rent
ELSS FUND PAYMENT 5743,4201.0,DEBIT,NETBANKING,Investments
UP1/RAJANXALAK2910/UP1 TRANSFER,158223.1,DEBIT,UPI,Transfer
UPI/DAKSHESHHAYRE6287/IMPS TRANSFER,96131.57,DEBIT,UPI,Transfer
TRANSFER FROM SELF,119845.55,CREDIT,NEFT,Transfer
UPI/RAAGINICHOWDHURY8145/AJIO,15281.12,DEBIT,UPI,Shopping
UPI/BHARDWAJDANIEL5905/SPENCER'S,775.89,DEBIT,UPI,Groceries
UPI/QASIM311885/ZOMATO,1484.78,DEBIT,UPI,Food & Dining
UPI/QANNE2749/MYNTRA,17861.83,DEBIT,UPI,Shopping
NEFT ACCOMM RENT,18726.05,DEBIT,NEFT,Rent
SALARY CREDIT INFOSYS,157731.0,CREDIT,NEFT,Salary
BESCOM PARIATUR,8417.1,DEBIT,ECS,Bills
UPI/DATEZEHAAN1470/MORE SUPERMARKET,1016.76,DEBIT,UPI,Groceries
NETBANKING AIRTEL,6232.75,DEBIT,NETBANKING,Bills
SALARY CREDIT INFOSYS,178698.13,CREDIT,NEFT,Salary
IMPS NEFT TRANSFER,134636.55,DEBIT,IMPS,Transfer
TRANSFER FROM SELF,5904.13,CREDIT,NEFT,Transfer
UPI/FMALHOTRA5583/OLA,8755.71,DEBIT,UPI,Travel
UP1/VKADAKIA9893/MYNTRA,12730.69,DEBIT,UPI,Shopping
TRANSFER FROM SELF,11997.69,CREDIT,NEFT,Transfer
POS MORE SUPERMARKET JAMMU,1145.95,DEBIT,POS,Groceries
UPI/ISHWARRAU5080/DMART,266.31,DEBIT,UPI,Groceries
POS MYNTRA SULTAN PUR MAJRA,27780.1,DEBIT,POS,Shopping
UPI/ADWETADEEP595/UPI TRANSFER,174126.65,DEBIT,UPI,Transfer
TRANSFER FROM SELF,6364.92,CREDIT,NEFT,Transfer
UPI/TRISTANCHAUDHRY1724/DMART,2700.17,DEBIT,UPI,Groceries
IMPS APARTMENT RENT,34349.51,DEBIT,IMPS,Rent
UPI/DRCONSULTATION8883,2329.0,DEBIT,NEFT,Healthcare
UPI/QMAND1971/UBER,10687.02,DEBIT,UPI,Travel
UPI/VVENKATARAMAN9709/CAFE COFFEE DAY,423.85,DEBIT,UPI,Food & Dining
NETBANKING JIO,2638.49,DEBIT,NETBANKING,Bills
SALARY CREDIT COMPANY PAYROLL,46353.58,CREDIT,NEFT,Salary
TRANSFER FROM SELF,19037.35,CREDIT,NEFT,Transfer
NETBANKING IRCTC,2757.13,DEBIT,NETBANKING,Travel
BSNL DELECTUS,6822.82,DEBIT,ECS,Bills
UPI/NITARA0078/MORE SUPERMARKET,1565.44,DEBIT,UPI,Groceries
POS AMAZON RAJPUR SONARPUR,38234.56,DEBIT,POS,Shopping
SALARY CREDIT WIPRO,69871.14,CREDIT,NEFT,Salary
TRANSFER FROM SELF,49841.15,CREDIT,NEFT,Transfer
NEFT IMPS TRANSFER,88334.63,CREDIT,NEFT,Transfer
SALARY CREDIT INFOSYS,46219.55,CREDIT,NEFT,Salary
POS HP PETROL PUMP JAMMU,2305.41,DEBIT,POS,Fuel
SALARY CREDIT INFOSYS,36868.98,CREDIT,CREDIT,Salary
UPI/MEKHALAMOHANTY1954/SPENCER'S,249.48,DEBIT,UPI,Groceries
NETBANKING ELECTRICITY BOARD,10679.67,DEBIT,NETBANKING,Bills
POS INDIGO PHUSRO,16045.29,DEBIT,POS,Travel
SALARY CREDIT TCS,183432.84,CREDIT,NEFT,Salary
TRANSFER FROM SELF,48910.17,CREDIT,NEFT,Transfer
NETBANK1NG B1GBASKET,2906.26,DEBIT,NETBANKING,Groceries
NEFT ACCOMM RENT,11394.07,DEBIT,NEFT,Rent
POS MYNTRA DANAPUR,36250.37,DEBIT,POS,Shopping
TRANSFER FROM SELF,122969.61,CREDIT,NEFT,Transfer
POS AJIO JAMMU,8553.02,DEBIT,POS,Shopping
UPI/RAAGINI892433/SPENCER'S,823.69,DEBIT,UPI,Groceries
ACCOMM RENT ODIT,19612.21,DEBIT,ECS,Rent
UPI/DARAAMRITA6940/CAFE COFFEE DAY,167.58,DEBIT,UPI,Food & Dining
SALARY CREDIT INFOSYS,192854.01,CREDIT,NEFT,Salary
UPI/SIDDHARTH196662/SWIGGY,1783.74,DEBIT,UPI,Food & Dining
UPI/SHRAVYASANDAL8463/AMAZON,25540.36,DEBIT,UPI,Shopping
SALARY CREDIT INFOSYS,43770.61,CREDIT,NEFT,Salary
TRANSFER FROM SELF,32522.1,CREDIT,NEFT,Transfer
POS CIPLA MED 2326,4923.0,DEBIT,NETBANKING,Healthcare
POS SWIGGY MEERUT,983.9,DEBIT,POS,Food & Dining
UPI/PVRCINEMAS7704,3310.0,DEBIT,NEFT,Entertainment
NETBANKING AIRTEL,8481.35,DEBIT,NETBANKING,Bills
UPI/AIIMS2329,1285.0,DEBIT,UPI,Healthcare
UPI/LADGAUTAMI9258/ZOMATO,615.62,DEBIT,UPI,Food & Dining
UPI/SARA048107/MCDONALDS,363.53,DEBIT,UPI,Food & Dining
POS AJIO TADEPALLIGUDEM,4510.25,DEBIT,POS,Shopping
APPLE MUSIC 4712,2767.0,DEBIT,NETBANKING,Entertainment
UPI/GAUTAM641868/ZOMATO,1091.91,DEBIT,UPI,Food & Dining
NETBANKING FLIPKART,21851.74,DEBIT,NETBANKING,Shopping
TRANSFER FROM SELF,26122.07,CREDIT,NEFT,Transfer
UPI/SOMANDAVID2096/MORE SUPERMARKET,130.94,DEBIT,UPI,Groceries
TRANSFER FROM SELF,11918.66,CREDIT,NEFT,Transfer
PRACTO CONSULTATION 1380,2721.0,DEBIT,NETBANKING,Healthcare
NIFTY ETF PAYMENT 5477,4956.0,DEBIT,ECS,Investments
EMI EMI LOAN,18924.54,DEBIT,NEFT,EMI
NEFT UPI TRANSFER,75108.94,DEBIT,NEFT,Transfer
UPI/PKHANNA8473/IMPS TRANSFER,190361.78,DEBIT,UPI,Transfer
POS BHARAT PETROLEUM KIRARI SULEMAN NAGAR,2083.63,DEBIT,POS,Fuel
UPI/WYATTDASS1290/GOAIR,8595.59,DEBIT,UPI,Travel
POS BHARAT PETROLEUM BULANDSHAHR,4064.38,DEBIT,POS,Fuel
UPI/TMAHAL6907/UBER,17039.34,DEBIT,UPI,Travel
IMPS UPI TRANSFER,102019.76,DEBIT,IMPS,Transfer
POS ZEE5 8464,4176.0,DEBIT,UPI,Entertainment
UPI/MADANOMKAAR8065/RELIANCE FRESH,2773.87,DEBIT,UPI,Groceries
POS PVR CINEMAS 2561,2793.0,DEBIT,NEFT,Entertainment
UPI/UNNI551460/MCDONALDS,150.18,DEBIT,UPI,Food & Dining
UPI/KALAANMOL1741/JIO,5440.11,DEBIT,UPI,Bills
UPI/PATLAETA2825/BIGBASKET,813.92,DEBIT,UPI,Groceries
UPI/OWEN80446/NEFT TRANSFER,93799.9,DEBIT,UPI,Transfer
UPI/GAMINGPURCHASE5826,2309.0,DEBIT,NEFT,Entertainment
HOTSTAR SUBSCRIPTION PAYMENT 2805,3882.0,DEBIT,UPI,Entertainment
TRANSFER FROM SELF,6438.64,CREDIT,NEFT,Transfer
UPI/MAXHOSPITAL9566,646.0,DEBIT,UPI,Healthcare
UPI/AMRUTA945228/SPENCER'S,2533.54,DEBIT,UPI,Groceries
BESCOM RERUM,6791.92,DEBIT,ECS,Bills
NEFT EMI HDFC,11807.61,DEBIT,NEFT,EMI
NETBANKING ELECTRICITY BOARD,343.55,DEBIT,NETBANKING,Bills
UPI/TRIPATHIINAYA4911/MCDONALDS,1196.58,DEBIT,UPI,Food & Dining
IMPS IMPS TRANSFER,27210.4,CREDIT,IMPS,Transfer
POS UBER SATARA,5885.74,DEBIT,POS,Travel
UPI/TRISTAN554274/DMART,565.04,DEBIT,UPI,Groceries
UPI/ZGUPTA3545/BIGBASKET,1325.81,DEBIT,UPI,Groceries
UPI/WARHIKRISHNA8127/DOMINOS,978.48,DEBIT,UPI,Food & Dining
UPI/FCHAR8856/MCDONALDS,315.51,DEBIT,UPI,Food & Dining
NETBANKING BESCOM,7652.69,DEBIT,NETBANKING,Bills
UPI/ODIKACHADHA1525/AJIO,45618.74,DEBIT,UPI,Shopping
POS DOMINOS MUMBAI,266.7,DEBIT,POS,Food & Dining
POS AMAZON KARAWAL NAGAR,18612.9,DEBIT,POS,Shopping
POS OLA KARAWAL NAGAR,13696.14,DEBIT,POS,Travel
SALARY CREDIT COMPANY PAYROLL,143692.28,CREDIT,NEFT,Salary
BESCOM ARCHITECTO,5439.57,DEBIT,ECS,Bills
SIP DEBIT PAYMENT 1023,3157.0,DEBIT,NEFT,Investments
TRANSFER FROM SELF,3788.04,CREDIT,NEFT,Transfer
NEFT IMPS TRANSFER,125196.4,DEBIT,NEFT,Transfer
UPI/REGEIJAYA1070/CAFE COFFEE DAY,353.05,DEBIT,UPI,Food & Dining
EMI HDFC IPSUM,14848.03,DEBIT,ECS,EMI
NEFT EMI SBI,9264.98,DEBIT,NEFT,EMI
APPLE MUSIC 2394,786.0,DEBIT,NEFT,Entertainment
UPI/MOHINI308044/RELIANCE FRESH,2526.72,DEBIT,UPI,Groceries
UPI/OKHOSLA9882/INDIGO,6981.97,DEBIT,UPI,Travel
UPI/REHAANTHAKUR2692/UPI TRANSFER,128434.6,DEBIT,UPI,Transfer
UPI/YACHANA746726/BIGBASKET,402.41,DEBIT,UPI,Groceries
IMPS UPI TRANSFER,107319.46,DEBIT,IMPS,Transfer
POS GOAIR JALANDHAR,4386.04,DEBIT,POS,Travel
NEFT ACCOMM RENT,25345.84,DEBIT,NEFT,Rent
NETBANKING SWIGGY,313.61,DEBIT,NETBANKING,Food & Dining
TRANSFER FROM SELF,8951.37,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,16051.48,CREDIT,NEFT,Transfer
UPI/GEORGECHOPRA685/IMPS TRANSFER,193823.22,DEBIT,UPI,Transfer
TRANSFER FR0M SELF,7793.49,CREDIT,NEFT,Transfer
NETBANKING DMART,1579.35,DEBIT,NETBANKING,Groceries
POS AMAZON DEHRI,11550.5,DEBIT,POS,Shopping
UPI/TRATTI9367/ZOMATO,1922.6,DEBIT,UPI,Food & Dining
UPI/GAMINGPURCHASE4532,680.0,DEBIT,NEFT,Entertainment
POS AJIO WARANGAL,51492.34,DEBIT,POS,Shopping
TRANSFER FROM SELF,34963.56,CREDIT,NEFT,Transfer
LIC PREMIUM PAYMENT 9806,1624.0,DEBIT,ECS,Investments
IMPS HOUSE RENT,6659.25,DEBIT,IMPS,Rent
UPI/ROBERT154527/INDIGO,10234.0,DEBIT,UPI,Travel
NETBANKING DMART,2498.14,DEBIT,NETBANKING,Groceries
POS MYNTRA KISHANGANJ,39731.07,DEBIT,POS,Shopping
POS ZOMATO THANJAVUR,1572.14,DEBIT,POS,Food & Dining
DISNEY PLUS PAYMENT 5451,2605.0,DEBIT,UPI,Entertainment
UPI/VRINDAKATA64/INDIGO,10062.18,DEBIT,UPI,Travel
NETBANKING MISCELLANEOUS,6420.92,DEBIT,NETBANKING,Other
UPI/PETER957531/CAFE COFFEE DAY,1625.3,DEBIT,UPI,Food & Dining
BESCOM SINT,7767.37,DEBIT,ECS,Bills
UPI/KIBEFREDERICK3460/MORE SUPERMARKET,2532.28,DEBIT,UPI,Groceries
UPI/DSRIVASTAVA4199/RELIANCE FRESH,1154.23,DEBIT,UPI,Groceries
NEFT HOUSE RENT,10413.44,DEBIT,NEFT,Rent
NETBANKING AJIO,19748.47,DEBIT,NETBANKING,Shopping
EMI LOAN FUGA,6779.78,DEBIT,ECS,EMI
POS AJIO RAICHUR,24286.76,DEBIT,POS,Shopping
PPF DEPOSIT PAYMENT 6822,2259.0,DEBIT,NEFT,Investments
YOUTUBE PREMIUM PAYMENT 3806,1827.0,DEBIT,ECS,Entertainment
PHARMEASY PAYMENT 2287,4730.0,DEBIT,ECS,Healthcare
HDFC MUTUAL FUND 8779,3807.0,DEBIT,NETBANKING,Investments
POS SIP DEBIT 8260,2566.0,DEBIT,NETBANKING,Investments
UPI/DALBIR621387/ZOMATO,1802.06,DEBIT,UPI,Food & Dining
PSO SPENCER'S ANANTAPUR,1062.43,DEBIT,POS,Groceries
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,9255.65,DEBIT,ATM,Cash
LIC PREMIUM PAYMENT 4744,3740.0,DEBIT,ECS,Investments
UPI/KORPALTRIYA7560/ZOMATO,724.07,DEBIT,UPI,Food & Dining
SALARY CREDIT HCL,73510.14,CREDIT,NEFT,Salary
UPI/ROUTCHAKRIKA4841/AMAZON,45131.39,DEBIT,UPI,Shopping
UPI/BGUHA1535/DOMINOS,1467.33,DEBIT,UPI,Food & Dining
UPI/SWAMYTRIYA2452/BESCOM,10311.47,DEBIT,UPI,Bills
HUNGAMA PAYMENT 2438,3623.0,DEBIT,UPI,Entertainment
UPI/ZKEER2058/AJIO,22159.01,DEBIT,UPI,Shopping
SBI MUTUAL FUND 6274,1238.0,DEBIT,ECS,Investments
POS INDIANOIL MADURAI,5328.56,DEBIT,POS,Fuel
IMPS APARTMENT RENT,8307.16,DEBIT,IMPS,Rent
NEFT IMPS TRANSFER,57091.17,DEBIT,NEFT,Transfer
POS BHARAT PETROLEUM MIRYALAGUDA,3342.58,DEBIT,POS,Fuel
UPI/FARAJDASS8657/AJIO,17375.94,DEBIT,UPI,Shopping
UPI/DRCONSULTATION9861,2125.0,DEBIT,ECS,Healthcare
AIRTEL VOLUPTATUM,5450.42,DEBIT,ECS,Bills
NETBANKING GOAIR,1753.14,DEBIT,NETBANKING,Travel
NETBANKING ELECTRICITY BOARD,1292.75,DEBIT,NETBANKING,Bills
TRANSFER FROM SELF,12302.81,CREDIT,NEFT,Transfer
UPI/GHOSHMANBIR5798/SWIGGY,852.34,DEBIT,UPI,Food & Dining
POS AJIO KURNOOL,4472.83,DEBIT,POS,Shopping
POS AJIO BETTIAH,23853.01,DEBIT,POS,Shopping
POS OLA KULTI,14649.84,DEBIT,POS,Travel
SALARY CREDIT INFOSYS,89001.18,CREDIT,NEFT,Salary
JIO ANIMI,3970.78,DEBIT,ECS,Bills
EMI HDFC AT,6673.82,DEBIT,ECS,EMI
POS AJIO AKOLA,34463.6,DEBIT,POS,Shopping
UPI/PRASADUNNI5859/ELECTRICITY BOARD,3569.33,DEBIT,UPI,Bills
UPI/OMYA378421/MYNTRA,26961.7,DEBIT,UPI,Shopping
UPI/BBARAD3288/RELIANCE FRESH,1703.58,DEBIT,UPI,Groceries
UPI/ZEE52822,840.0,DEBIT,ECS,Entertainment
TRANSFER FROM SELF,8285.98,CREDIT,NEFT,Transfer
NEFT HOUSE RENT,25939.44,DEBIT,NEFT,Rent
SALARY CREDIT INFOSYS,134655.39,CREDIT,CREDIT,Salary
POS CAFE COFFEE DAY KATIHAR,1802.94,DEBIT,POS,Food & Dining
UPI/DEWANKAI9517/AMAZON,29076.17,DEBIT,UPI,Shopping
UPSTOX PAYMENT 5679,1873.0,DEBIT,UPI,Investments
NETBANKING JIO,753.58,DEBIT,NETBANKING,Bills
POS RELIANCE FRESH HOSPET,246.33,DEBIT,POS,Groceries
SALARY CREDIT HCL,180018.76,CREDIT,NEFT,Salary
SONY LIV PAYMENT 4352,4282.0,DEBIT,ECS,Entertainment
SALARY CREDIT INFOSYS,175317.75,CREDIT,NEFT,Salary
ICICI DIRECT PAYMENT 8011,2109.0,DEBIT,NEFT,Investments
UPI/DEOLEKBAL2178/SWIGGY,798.9,DEBIT,UPI,Food & Dining
POS NETMEDS 4934,3787.0,DEBIT,ECS,Healthcare
UPI/VALALUCKY2039/AJIO,2025.69,DEBIT,UPI,Shopping
NETBANKING GOAIR,11050.2,DEBIT,NETBANKING,Travel
APARTMENT RENT ACCUSAMUS,4589.09,DEBIT,ECS,Rent
IMPS IMPS TRANSFER,13583.39,DEBIT,IMPS,Transfer
UPI/CHAKRIKAJHAVERI7277/NEFT TRANSFER,33560.22,CREDIT,UPI,Transfer
UPI/BVISWANATHAN9751/IMPS TRANSFER,51856.24,DEBIT,UPI,Transfer
POS DOMINOS RAMGARH,1632.75,DEBIT,POS,Food & Dining
POS HP PETROL PUMP JHANSI,553.98,DEBIT,POS,Fuel
POS MYNTRA BALLIA,9089.23,DEBIT,POS,Shopping
POS MYNTRA RAMPUR,22127.72,DEBIT,POS,Shopping
UPI/SONYLIV7335,1224.0,DEBIT,ECS,Entertainment
EMI SBI SUNT,14877.62,DEBIT,ECS,EMI
AXIS MF PAYMENT 1888,3039.0,DEBIT,NETBANKING,Investments
POS UPSTOX 6218,2555.0,DEBIT,ECS,Investments
POS DOMINOS KHARAGPUR,900.7,DEBIT,POS,Food & Dining
BSNL REM,3968.66,DEBIT,ECS,Bills
SALARY CREDIT INFOSYS,106635.51,CREDIT,NEFT,Salary
POS AJIO BETTIAH,51933.98,DEBIT,POS,Shopping
UPI/BBEN1043/BIGBASKET,242.49,DEBIT,UPI,Groceries
NETBANKING SPENCER'S,2985.24,DEBIT,NETBANKING,Groceries
POS GOAIR AODNI,19017.54,DEBIT,POS,Travel
UPI/WAIDA953831/IMPS TRANSFER,39017.89,DEBIT,UPI,Transfer
NETBANKING BIGBASKET,1864.79,DEBIT,NETBANKING,Groceries
UPI/DEOSHRAVYA7777/DMART,1402.38,DEBIT,UPI,Groceries
NEFT HOUSE RENT,32297.12,DEBIT,NEFT,Rent
UPI/RUDRA102550/IMPS TRANSFER,129970.52,DEBIT,UPI,Transfer
HOUSE RENT MAIORES,5882.37,DEBIT,ECS,Rent
POS GOAIR AHMEDABAD,20065.3,DEBIT,POS,Travel
UPI/SONYLIV9076,3506.0,DEBIT,NEFT,Entertainment
IMPS UPI TRANSFER,37426.3,DEBIT,IMPS,Transfer
BESCOM FACERE,5709.44,DEBIT,ECS,Bills
UPI/ZERODHA9666,1307.0,DEBIT,UPI,Investments
UPI/BAILOJAS4761/IRCTC,8635.15,DEBIT,UPI,Travel
NEFT IMPS TRANSFER,88220.56,DEBIT,NEFT,Transfer
NETBANKING AIRTEL,3530.37,DEBIT,NETBANKING,Bills
UPI/BOOKMYSHOW9885,1518.0,DEBIT,ECS,Entertainment
TRANSFER FROM SELF,24867.71,CREDIT,NEFT,Transfer
UPI/JACOB652534/IMPS TRANSFER,35549.24,DEBIT,UPI,Transfer
TRANSFER FROM SELF,183628.19,CREDIT,NEFT,Transfer
UPI/GAUTAMPRABHAKAR899/AJIO,42617.92,DEBIT,UPI,Shopping
UPI/MEGHANA174695/SPENCER'S,480.51,DEBIT,UPI,Groceries
POS RELIANCE FRESH FARIDABAD,1486.89,DEBIT,POS,Groceries
IMPS NEFT TRANSFER,185450.72,DEBIT,IMPS,Transfer
SALARY CRED1T W1PR0,47075.93,CREDIT,NEFT,Salary
UPI/JATINMEMON468/NEFT TRANSFER,188890.44,CREDIT,UPI,Transfer
EMI LOAN QUAS,19280.57,DEBIT,ECS,EMI
BESCOM EAQUE,4070.48,DEBIT,ECS,Bills
TRANSFER FROM SELF,30185.53,CREDIT,NEFT,Transfer
POS OLA CHANDRAPUR,4048.27,DEBIT,POS,Travel
AIIMS 7244,1687.0,DEBIT,UPI,Healthcare
POS MCDONALDS THRISSUR,2068.54,DEBIT,POS,Food & Dining
IMPS APARTMENT RENT,21217.24,DEBIT,IMPS,Rent
EMI LOA NET,18053.15,DEBIT,ECS,EMI
IMPS IMPS TRANSFER,153468.18,DEBIT,IMPS,Transfer
NETBANKING BSNL,9219.71,DEBIT,NETBANKING,Bills
SALARY CREDIT HCL,179322.22,CREDIT,NEFT,Salary
ELECTRICITY BOARD A,420.12,DEBIT,ECS,Bills
TRANSFER FROM SELF,15575.47,CREDIT,NEFT,Transfer
SALARY CREDIT TCS,89176.99,CREDIT,NEFT,Salary
POS AJIO IMPHAL,17164.63,DEBIT,POS,Shopping
NETBANKING AMAZON,8121.6,DEBIT,NETBANKING,Shopping
NEFT EMI LOAN,13512.13,DEBIT,NEFT,EMI
NETBANKING MYNTRA,14508.73,DEBIT,NETBANKING,Shopping
UPI/FORUM887335/SPENCER'S,2740.01,DEBIT,UPI,Groceries
SALARY CREDIT COMPANY PAYROLL,126452.44,CREDIT,NEFT,Salary
NETBANKING INDIGO,9690.93,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,18259.05,CREDIT,NEFT,Transfer
ACCOMM RENT BLANDITIIS,23942.46,DEBIT,ECS,Rent
UPI/WILLIAMMALLICK2822/SPENCER'S,1896.84,DEBIT,UPI,Groceries
TRANSFER FROM SELF,10823.23,CREDIT,NEFT,Transfer
JI OENIM,7604.22,DEBIT,ECS,Bills
TRANSFER FROM SELF RE:F257150,6232.23,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,15171.25,CREDIT,NEFT,Transfer
EMI HDFC CULPA,10780.25,DEBIT,ECS,EMI
UPI/YOUTUBEPREMIUM7584,1924.0,DEBIT,NEFT,Entertainment
APOLLO PHARMACY PAYMENT 1310,1612.0,DEBIT,ECS,Healthcare
POS AJIO AMBALA,44010.58,DEBIT,POS,Shopping
POS AMAZON SOUTH DUMDUM,40872.14,DEBIT,POS,Shopping
TRANSFER FROM SELF,3339.25,CREDIT,NEFT,Transfer
UPI/NETRA417178/INDIGO,11092.54,DEBIT,UPI,Travel
POS AJIO NAGAON,10248.71,DEBIT,POS,Shopping
HEALTHKART PAYMENT 2802,480.0,DEBIT,NETBANKING,Healthcare
UPI/VINCENT028632/OLA,57.79,DEBIT,UPI,Travel
POS OLA CHANDRAPUR,12776.42,DEBIT,POS,Travel
UPI/PARTH762951/IRCTC,4489.96,DEBIT,UPI,Travel
POS DMART TIRUPPUR,1502.81,DEBIT,POS,Groceries
UPI/ANAY327522/RELIANCE FRESH,1343.83,DEBIT,UPI,Groceries
BESCOM VOLUPTATE,7528.11,DEBIT,ECS,Bills
UPI/SAMALIPIKA7362/GOAIR,941.82,DEBIT,UPI,Travel
CIPLA MED PAYMENT 7893,3555.0,DEBIT,ECS,Healthcare
POS MORE SUPERMARKET BERHAMPORE,1283.35,DEBIT,POS,Groceries
TRANSFER FROM SELF,19227.27,CREDIT,NEFT,Transfer
UPI/RASTOGIARYA6413/MCDONALDS,1523.01,DEBIT,UPI,Food & Dining
POS AMAZON PANVEL,22862.28,DEBIT,POS,Shopping
TRANSFER FROM SELF,6365.73,CREDIT,NEFT,Transfer
UPI/GOPALJANUJA5676/CAFE COFFEE DAY,1547.13,DEBIT,UPI,Food & Dining
UPI/MEERA746582/CAFE COFFEE DAY,1736.88,DEBIT,UPI,Food & Dining
POS ZOMATO MUMBAI,294.83,DEBIT,POS,Food & Dining
SALARY CREDIT WIPRO,53155.12,CREDIT,NEFT,Salary
EMI SBI DELENITI,6419.29,DEBIT,ECS,EMI
UPI/JACKNAGAR401/SWIGGY,616.21,DEBIT,UPI,Food & Dining
POS HUNGAMA 7913,356.0,DEBIT,NEFT,Entertainment
APOLLO PHARMACY PAYMENT 8708,1485.0,DEBIT,ECS,Healthcare
ELECTRICITY BOARD QUAS,5396.41,DEBIT,ECS,Bills
SALARY CREDIT INFOSYS,22299.77,CREDIT,NEFT,Salary
POS HP PETROL PUMP PUDUKKOTTAI,4668.28,DEBIT,POS,Fuel
NETBANKING BSNL,4735.69,DEBIT,NETBANKING,Bills
TRANSFER FROM SELF,119427.04,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,38409.82,CREDIT,NEFT,Transfer
POS MORE SUPERMARKET DAVANAGERE,749.1,DEBIT,POS,Groceries
UPI/SHAURYA538640/ZOMATO,1849.76,DEBIT,UPI,Food & Dining
UPI/APPLEMUSIC9424,2809.0,DEBIT,NEFT,Entertainment
IMPS APARTMENT RENT,10076.45,DEBIT,IMPS,Rent
EMI SBI MAIORES,11322.68,DEBIT,ECS,EMI
TRANSFER FROM SELF,144919.9,CREDIT,NEFT,Transfer
POS AJIO DIBRUGARH,18913.92,DEBIT,POS,Shopping
UPI/WALIISAIAH4702/BIGBASKET,1732.79,DEBIT,UPI,Groceries
NETBANKING FLIPKART,42106.78,DEBIT,NETBANKING,Shopping
UPI/AXISMF9962,959.0,DEBIT,UPI,Investments
POS OLA HAJIPUR,7844.56,DEBIT,POS,Travel
TRANSFER FROM SELF,143741.14,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,33494.11,CREDIT,NEFT,Transfer
UPI/IRAMAHARAJ7255/SPENCER'S,1300.15,DEBIT,UPI,Groceries
NETBANKING BESCOM,3506.5,DEBIT,NETBANKING,Bills
UPI/KASHYAPATHARV4837/MISCELLANEOUS,2267.48,DEBIT,UPI,Other
POS FLIPKART HALDIA,43387.63,DEBIT,POS,Shopping
TRANSFER FROM SELF,3967.09,CREDIT,NEFT,Transfer
POS SPENCER'S PARBHANI,1225.04,DEBIT,POS,Groceries
TRANSFER FROM SELF,9236.27,CREDIT,NEFT,Transfer
POS AJIO SULTAN PUR MAJRA,21165.07,DEBIT,POS,Shopping
TRANSFER FROM SELF,7666.02,CREDIT,NEFT,Transfer
EMI EMI SBI,8612.91,DEBIT,ECS,EMI
UPI/GIRIK295577/DMART,823.63,DEBIT,UPI,Groceries
UPI/PPFDEPOSIT2725,4387.0,DEBIT,NETBANKING,Investments
SALARY CREDIT INFOSYS,19823.48,CREDIT,NEFT,Salary
NEFT ACCOMM RENT,17478.96,DEBIT,NEFT,Rent
POS SPOTIFY MUSIC 4746,656.0,DEBIT,NETBANKING,Entertainment
ELSS FUND PAYMENT 6340,2752.0,DEBIT,NEFT,Investments
SBI MUTUAL FUND PAYMENT 6428,1298.0,DEBIT,NEFT,Investments
IMPS NEFT TRANSFER,170311.98,CREDIT,IMPS,Transfer
